Topic,Premise,Conclusion,Novelty,Confidence
Torture,"Terrorists are brutal enemies that would not be affected by the decision of a Western country to use torture. They are already kidnapping, torturing, and killing foreign troops without any calculating consideration of whether the country they oppose is utilizing the tactic of torture. Terrorists are already as extreme as can be; they won't be made more extreme and threatening to sovereign troops because a country is committing torture.",Terrorists would not be threatened by a Western policy of torture,1,very confident
Torture,"Terrorists are brutal enemies that would not be affected by the decision of a Western country to use torture. They are already kidnapping, torturing, and killing foreign troops without any calculating consideration of whether the country they oppose is utilizing the tactic of torture. Terrorists are already as extreme as can be; they won't be made more extreme and threatening to sovereign troops because a country is committing torture.",Saddam's regime posed a general menace to international law and security,0,very confident
Torture,"Torture puts the torturer in a position of dominance and abuse that has a brutalizing effect. This brutalizing effect is dehumanizing, or at least it defeats the virtues of compassion, empathy, and dignity that define a good human being, perhaps in God's image.",Torture is dehumanizing.,0,very confident
Torture,"Terrorists are brutal enemies that would not be affected by the decision of a Western country to use torture. They are already kidnapping, torturing, and killing foreign troops without any calculating consideration of whether the country they oppose is utilizing the tactic of torture. Terrorists are already as extreme as can be; they won't be made more extreme and threatening to sovereign troops because a country is committing torture.",Terrorists won't be stopped by a ban on torture,0,confident
Torture,"Torture puts the torturer in a position of dominance and abuse that has a brutalizing effect. This brutalizing effect is dehumanizing, or at least it defeats the virtues of compassion, empathy, and dignity that define a good human being, perhaps in God's image.","Torture has a brutalizing, dehumanizing effect",0,very confident
Torture,"A terrorist will experience pain for a short period while being tortured. Yet, the millions of lives that could be lost if that pain is not inflicted will be gone forever. The ethical trade-off is overwhelmingly in favor of performing torture.",Terrorists are ticking time bombs.,0,very confident
Torture,"Torture puts the torturer in a position of dominance and abuse that has a brutalizing effect. This brutalizing effect is dehumanizing, or at least it defeats the virtues of compassion, empathy, and dignity that define a good human being, perhaps in God's image.",Torture dehumanizes the torturer,0,very confident
Torture,"While some argue that the ""ticking time-bomb"" is a fictitious experiment that impossibly requires perfect information, it need not be based on perfect information. A leader can justifiably determine that torture is the best course of action on the existence of reasonable probabilities that a ""ticking time bomb"" exists and threatens a certain amount of lives, and that a suspect retains information that could save those lives and has a good chance of being extracted through torture.",Leaders must be afforded the flexibility to judge that torture is the most probable way to save hundreds of thousands,1,very confident
Torture,"While some argue that the ""ticking time-bomb"" is a fictitious experiment that impossibly requires perfect information, it need not be based on perfect information. A leader can justifiably determine that torture is the best course of action on the existence of reasonable probabilities that a ""ticking time bomb"" exists and threatens a certain amount of lives, and that a suspect retains information that could save those lives and has a good chance of being extracted through torture.",US intervention in Libya was in national interests,0,very confident
Torture,"In an October 2006 BBC survey of 27,000 people in 25 countries, more than one out of three people in nine of those countries, including America, considered a degree of torture acceptable if it saved lives.","Torture ""to save lives"" has a substantial body of support among publics:",1,very confident
Torture,"In an October 2006 BBC survey of 27,000 people in 25 countries, more than one out of three people in nine of those countries, including America, considered a degree of torture acceptable if it saved lives.",Year-round schools have same overall schooling and vacation time.,0,very confident
Torture,"It is not necessary that there be a high probability that the ""ticking time bomb"" scenario will occur. What is important is that it is not implausible to imagine that it could occur. If it were to occur, leaders must be in a position of flexibility to use torture to to save a million lives.","The ""ticking time bomb"" scenario can happen.",0,very confident
Torture,"It is not necessary that there be a high probability that the ""ticking time bomb"" scenario will occur. What is important is that it is not implausible to imagine that it could occur. If it were to occur, leaders must be in a position of flexibility to use torture to to save a million lives.","The ""ticking time bomb"" scenario could occur",0,very confident
Torture,"It is not necessary that there be a high probability that the ""ticking time bomb"" scenario will occur. What is important is that it is not implausible to imagine that it could occur. If it were to occur, leaders must be in a position of flexibility to use torture to to save a million lives.","A one-in-a-million probability of the ""ticking time bomb"" occurring is sufficient to justify",1,very confident
Torture,"The ends do not justify the means in the case of torture. Because we accept that torture is always morally wrong, even if torture had the potential to save lives, it is unacceptable to sacrifice principle to achieve these ends. Torture violates the dignity of the human being Torture violates protections of the vulnerable",Torture is always wrong,0,very confident
Torture,"Torture puts the torturer in a position of dominance and abuse that has a brutalizing effect. This brutalizing effect is dehumanizing, or at least it defeats the virtues of compassion, empathy, and dignity that define a good human being, perhaps in God's image.","Trying terrorists risks releasing intelligence, costing lives",0,very confident
Torture,"Torture puts the torturer in a position of dominance and abuse that has a brutalizing effect. This brutalizing effect is dehumanizing, or at least it defeats the virtues of compassion, empathy, and dignity that define a good human being, perhaps in God's image.","Torture has a brutalizing, dominating effect.",0,very confident
Torture,"The ends do not justify the means in the case of torture. Because we accept that torture is always morally wrong, even if torture had the potential to save lives, it is unacceptable to sacrifice principle to achieve these ends. Torture violates the dignity of the human being Torture violates protections of the vulnerable",Many Iraqis support the continued presence of US forces,0,very confident
Torture,"The Geneva Convention applies only to Prisoners of War whom are troops of nations that have both signed and abide by the Geneva convention. This does not apply to terrorists who have not state affiliation, have no signatory connection to the Geneva Convention, and who willingly violate the rules of war on the Geneva Convention.","Friends can become enemies, and vice versa.",0,very confident
Torture,"The Geneva Convention applies only to Prisoners of War whom are troops of nations that have both signed and abide by the Geneva convention. This does not apply to terrorists who have not state affiliation, have no signatory connection to the Geneva Convention, and who willingly violate the rules of war on the Geneva Convention.",Geneva Conventions only apply to POWs who sign it,0,very confident
Torture,"The Geneva Convention applies only to Prisoners of War whom are troops of nations that have both signed and abide by the Geneva convention. This does not apply to terrorists who have not state affiliation, have no signatory connection to the Geneva Convention, and who willingly violate the rules of war on the Geneva Convention.",Geneva Convention does not apply to terrorists.,0,very confident
Torture,"The Geneva Convention applies only to Prisoners of War whom are troops of nations that have both signed and abide by the Geneva convention. This does not apply to terrorists who have not state affiliation, have no signatory connection to the Geneva Convention, and who willingly violate the rules of war on the Geneva Convention.",Terrorists have no Geneva rights,0,very confident
Trade vs aid,"or even for ensuring that the process is objective and transparent. Without systemic correlation between allocations and poverty measurements, for example, large quantities of aid continue to go to countries with small numbers of people in poverty."" [UN ECOSOC 2008b, International Development Association 2007; published in International Development Cooperation Today - Emerging Trends and Debates, 2008]",Aid allocations are often too small to avoid corruption,0,confident
Trade vs aid,"or even for ensuring that the process is objective and transparent. Without systemic correlation between allocations and poverty measurements, for example, large quantities of aid continue to go to countries with small numbers of people in poverty."" [UN ECOSOC 2008b, International Development Association 2007; published in International Development Cooperation Today - Emerging Trends and Debates, 2008]",Humans owe a duty of care to our animal cousins,0,very confident
Trade vs aid,"Trade does not exist in a vacuum. It needs a wider infrastructure to support it, e.g. roads, railways, ports, education to produce capable civil servants to administer trading rules, etc. Without foreign aid, developing countries are not able to develop this kind of support, and so cannot participate effectively in international trade. Aid is not always in the form of money - it may also be given through expert advisors who help countries prepare for the challenges of globalisation.",Trade is only as good as the infrastructure.,1,very confident
Trade vs aid,"Trade does not exist in a vacuum. It needs a wider infrastructure to support it, e.g. roads, railways, ports, education to produce capable civil servants to administer trading rules, etc. Without foreign aid, developing countries are not able to develop this kind of support, and so cannot participate effectively in international trade. Aid is not always in the form of money - it may also be given through expert advisors who help countries prepare for the challenges of globalisation.",Trade does not exist in a vacuum.,0,very confident
Trade vs aid,"or even for ensuring that the process is objective and transparent. Without systemic correlation between allocations and poverty measurements, for example, large quantities of aid continue to go to countries with small numbers of people in poverty."" [UN ECOSOC 2008b, International Development Association 2007; published in International Development Cooperation Today - Emerging Trends and Debates, 2008]",There is no good system for measuring poverty,0,confident
Trade vs aid,"Trade does not exist in a vacuum. It needs a wider infrastructure to support it, e.g. roads, railways, ports, education to produce capable civil servants to administer trading rules, etc. Without foreign aid, developing countries are not able to develop this kind of support, and so cannot participate effectively in international trade. Aid is not always in the form of money - it may also be given through expert advisors who help countries prepare for the challenges of globalisation.",Wave power is only viable where conditions are right,0,very confident
Trying 9/11 terror suspects in NYC courts,"Others complain that Mr. Mohammed might take advantage of quirks of the criminal justice system and go free. That’s highly unlikely. First, he has already confessed to the crime; and, given the zero acquittal rate for terrorists in New York previously, any anxiety about a “not guilty” verdict seems unwarranted.","Humans have rights, like animals",0,very confident
Trying 9/11 terror suspects in NYC courts,"everyone knows that whatever the outcome of the trial, KSM will never walk free. He will spend the rest of his natural life in U.S. custody. Which makes the proceedings a farcical show trial from the very beginning.",9/11 suspect KSM would never walk free.,0,very confident
Trying 9/11 terror suspects in NYC courts,"everyone knows that whatever the outcome of the trial, KSM will never walk free. He will spend the rest of his natural life in U.S. custody. Which makes the proceedings a farcical show trial from the very beginning.",KSM will never walk free.,0,very confident
Trying 9/11 terror suspects in NYC courts,"Others complain that Mr. Mohammed might take advantage of quirks of the criminal justice system and go free. That’s highly unlikely. First, he has already confessed to the crime; and, given the zero acquittal rate for terrorists in New York previously, any anxiety about a “not guilty” verdict seems unwarranted.","The chances of a ""not guilty"" verdict are low",0,very confident
Trying 9/11 terror suspects in NYC courts,"New York Mayor Rudy Giuliani praised the trial of the 1993 bombing of the World Trade Center, saying, ""New Yorkers won’t meet violence with violence, but with a far greater weapon -- the law.",Trying 9/11 terror suspects in NYC courts is appropriate weapon,0,very confident
Trying 9/11 terror suspects in NYC courts,"The obligation to stand trial in an open court of law is a defeat for the alleged mastermind of the 9/11 attacks, who once expressed a desire to plead guilty in the military commission system established in Guantánamo. Because the trial venue has been discredited around the Islamic world -- and among U.S. allies -- fulfilling his wish would have solidified his status as martyr on behalf of a distorted version of Islam.",Many people depend on veal farming.,0,very confident
Trying 9/11 terror suspects in NYC courts,A November 2009 CBS News Poll found that only 40 percent of Americans want Mohammed and his four minions to be tried in federal criminal court.,Wind energy is free.,0,very confident
Trying 9/11 terror suspects in NYC courts,A November 2009 CBS News Poll found that only 40 percent of Americans want Mohammed and his four minions to be tried in federal criminal court.,Majority of Americans are opposed to civilian trial of terrorists.,0,very confident
Trying 9/11 terror suspects in NYC courts,A November 2009 CBS News Poll found that only 40 percent of Americans want Mohammed and his four minions to be tried in federal criminal court.,Most Americans do not want to see 9/11 suspects tried in federal courts,0,very confident
Trying 9/11 terror suspects in NYC courts,"The additional security required to guard against #3 will cost the federal and city governments a fortune, interfere with the administration of justice in a busy federal district and busy federal prison, add to the traffic and delays already extant in lower Manhattan, and place a great burden on the jurors, judge, and prosecutors.",Completing a hard video game makes you feel accomplished.,0,very confident
Trying 9/11 terror suspects in NYC courts,"The additional security required to guard against #3 will cost the federal and city governments a fortune, interfere with the administration of justice in a busy federal district and busy federal prison, add to the traffic and delays already extant in lower Manhattan, and place a great burden on the jurors, judge, and prosecutors.",Trying terrorists in NY requires costly security,0,very confident
Trying 9/11 terror suspects in NYC courts,"The additional security required to guard against #3 will cost the federal and city governments a fortune, interfere with the administration of justice in a busy federal district and busy federal prison, add to the traffic and delays already extant in lower Manhattan, and place a great burden on the jurors, judge, and prosecutors.",Terror suspects in NYC courts will be costly,0,very confident
Trying 9/11 terror suspects in NYC courts,"The additional security required to guard against #3 will cost the federal and city governments a fortune, interfere with the administration of justice in a busy federal district and busy federal prison, add to the traffic and delays already extant in lower Manhattan, and place a great burden on the jurors, judge, and prosecutors.",Trying 9/11 suspects in NYC would be costly,0,very confident
Trying 9/11 terror suspects in NYC courts,"Detainees will get a 'fair trial' in civilian court only if their conviction is assured. By implication, that suggests that detainees who go before military commissions will get an unfair trial. Presumably the administration would deny this and say the commission trials will be fair too. But if so, why is such a trial not good enough for Khalid Sheikh Mohammad?",Year-round schools spread breaks across each term.,0,very confident
Trying 9/11 terror suspects in NYC courts,"Detainees will get a 'fair trial' in civilian court only if their conviction is assured. By implication, that suggests that detainees who go before military commissions will get an unfair trial. Presumably the administration would deny this and say the commission trials will be fair too. But if so, why is such a trial not good enough for Khalid Sheikh Mohammad?",Detainees will get a fair trial in civilian court if conviction assured,0,very confident
Trying 9/11 terror suspects in NYC courts,"Detainees will get a 'fair trial' in civilian court only if their conviction is assured. By implication, that suggests that detainees who go before military commissions will get an unfair trial. Presumably the administration would deny this and say the commission trials will be fair too. But if so, why is such a trial not good enough for Khalid Sheikh Mohammad?",Detainees will get an unfair trial only if conviction is assured,0,very confident
Trying 9/11 terror suspects in NYC courts,"Detainees will get a 'fair trial' in civilian court only if their conviction is assured. By implication, that suggests that detainees who go before military commissions will get an unfair trial. Presumably the administration would deny this and say the commission trials will be fair too. But if so, why is such a trial not good enough for Khalid Sheikh Mohammad?","Detainees are given a ""fair trial"" in civilian courts",0,very confident
Trying 9/11 terror suspects in NYC courts,"The politics of the trial stems from Obama’s decision to announce the closing of Guantanamo before he had lined up takers for its prisoners. Now with unemployment at 10.2 percent, he could hold an auction for the officials in Illinois, Montana, Michigan and Colorado clamoring for the detainees to fill their underused prisons. The politician who wins the detainees isn’t going to get booted from office. He’s going to get a parade.",The administration argued as early as 2004:,0,very confident
Trying 9/11 terror suspects in NYC courts,"Which brings us to the idea that allowing Mr. Mohammed to take the stand will give him a soapbox. The truth is, if the trial provides a propaganda platform for anybody, it will be for our side. [...] First, federal courts do not permit TV cameras in the courtroom, so the opportunity for “real time” jihadist propagandizing won’t exist.",Spending cuts are phased in slowly to allow recovery.,0,very confident
Trying 9/11 terror suspects in NYC courts,"Which brings us to the idea that allowing Mr. Mohammed to take the stand will give him a soapbox. The truth is, if the trial provides a propaganda platform for anybody, it will be for our side. [...] First, federal courts do not permit TV cameras in the courtroom, so the opportunity for “real time” jihadist propagandizing won’t exist.",Guantanamo Bay detainee Mohammed will not have a soapbox,0,very confident
Trying 9/11 terror suspects in NYC courts,"Trying the 9/11 defendants before military commissions, on the other hand, would be widely (if unfairly) denounced as designed to ensure convictions regardless of the evidence. A decision to continue holding the suspects without trial -- after eight years of presidential vows to put them on trial -- would be a damning admission that America is simply not up to the task of bringing war criminals to justice.",Trying 9/11 suspects before military commissions is unfair,0,very confident
Trying 9/11 terror suspects in NYC courts,"Trying the 9/11 defendants before military commissions, on the other hand, would be widely (if unfairly) denounced as designed to ensure convictions regardless of the evidence. A decision to continue holding the suspects without trial -- after eight years of presidential vows to put them on trial -- would be a damning admission that America is simply not up to the task of bringing war criminals to justice.",Withdrawing before the job is done would undermine US ally in the war on terror,0,very confident
Trying 9/11 terror suspects in NYC courts,"While there is a remote chance that civilian courts would expose some intelligence, it would only be exposing 8-year-old intelligence, which is very unlikely to be useful to terrorists.",Civilian courts are unlikely to expose valuable intelligence,0,very confident
Trying 9/11 terror suspects in NYC courts,"While there is a remote chance that civilian courts would expose some intelligence, it would only be exposing 8-year-old intelligence, which is very unlikely to be useful to terrorists.",Criminal courts would expose little info to terrorists,0,very confident
Trying 9/11 terror suspects in NYC courts,"While there is a remote chance that civilian courts would expose some intelligence, it would only be exposing 8-year-old intelligence, which is very unlikely to be useful to terrorists.",Trying 9/11 suspects would expose very little intelligence,0,very confident
Trying 9/11 terror suspects in NYC courts,"New York Mayor Rudy Giuliani praised the trial of the 1993 bombing of the World Trade Center, saying, ""New Yorkers won’t meet violence with violence, but with a far greater weapon -- the law.",US-NATO operations in Libya have been limited to a supporting role,0,very confident
Trying 9/11 terror suspects in NYC courts,"New York Mayor Rudy Giuliani praised the trial of the 1993 bombing of the World Trade Center, saying, ""New Yorkers won’t meet violence with violence, but with a far greater weapon -- the law.",Terrorists should be met with the weapon of the law,0,very confident
Trying 9/11 terror suspects in NYC courts,"As for emotional pain, one of the advances in the U.S. criminal justice system is giving victims a place at trial and a chance to be heard. The families wouldn’t get that in Guantanamo.",9/11 victims deserve a trial; not Guantanamo,0,very confident
Trying 9/11 terror suspects in NYC courts,"Which brings us to the idea that allowing Mr. Mohammed to take the stand will give him a soapbox. The truth is, if the trial provides a propaganda platform for anybody, it will be for our side. [...] First, federal courts do not permit TV cameras in the courtroom, so the opportunity for “real time” jihadist propagandizing won’t exist.",No TV cameras allowed in trials of 9/11 suspects,0,very confident
Trying 9/11 terror suspects in NYC courts,"As for emotional pain, one of the advances in the U.S. criminal justice system is giving victims a place at trial and a chance to be heard. The families wouldn’t get that in Guantanamo.",Allowing 9/11 victims to see terrorists on trial helps justice,0,very confident
Trying 9/11 terror suspects in NYC courts,"New York Mayor Michael Bloomberg said in November of 2009: ""It is fitting that 9/11 suspects face justice near the World Trade Center site where so many New Yorkers were murdered.",9/11 suspects should face justice near WTC site,0,very confident
Trying 9/11 terror suspects in NYC courts,"New York Mayor Michael Bloomberg said in November of 2009: ""It is fitting that 9/11 suspects face justice near the World Trade Center site where so many New Yorkers were murdered.",9/11 suspects should be tried in NYC courts,0,very confident
Trying 9/11 terror suspects in NYC courts,"New York Mayor Michael Bloomberg said in November of 2009: ""It is fitting that 9/11 suspects face justice near the World Trade Center site where so many New Yorkers were murdered.",9/11 victims should be tried in New York,0,very confident
Trying 9/11 terror suspects in NYC courts,"New York Mayor Michael Bloomberg said in November of 2009: ""It is fitting that 9/11 suspects face justice near the World Trade Center site where so many New Yorkers were murdered.",Fitting to try 9/11 terrorists at site of attacks,0,very confident
Trying 9/11 terror suspects in NYC courts,"New York Mayor Michael Bloomberg said in November of 2009: ""It is fitting that 9/11 suspects face justice near the World Trade Center site where so many New Yorkers were murdered.",Prolonging the Iraq War will permanently damaged the US military,0,very confident
Trying 9/11 terror suspects in NYC courts,"Instead of a straightforward finding of guilt and execution in a military court, Americans who suffered the loss of loved ones on 9/11 will have to suffer through a lengthy trial designed to show the world that Americans are fair to terrorists. [...] And they will have to suffer that trial within blocks of where two planes commandeered by fellow terrorists flew into and destroyed the Twin Trade Towers.","The ""domino theory"" in a post-Iraq-withdrawal Middle East is",0,very confident
Trying 9/11 terror suspects in NYC courts,"As for emotional pain, one of the advances in the U.S. criminal justice system is giving victims a place at trial and a chance to be heard. The families wouldn’t get that in Guantanamo.",Obama administration consulted with Congress on Libya,0,very confident
Trying 9/11 terror suspects in NYC courts,"Trying the 9/11 defendants before military commissions, on the other hand, would be widely (if unfairly) denounced as designed to ensure convictions regardless of the evidence. A decision to continue holding the suspects without trial -- after eight years of presidential vows to put them on trial -- would be a damning admission that America is simply not up to the task of bringing war criminals to justice.",Trying the 9/11 suspects before military courts would be unfair,0,very confident
Trying 9/11 terror suspects in NYC courts,"Which brings us to the idea that allowing Mr. Mohammed to take the stand will give him a soapbox. The truth is, if the trial provides a propaganda platform for anybody, it will be for our side. [...] First, federal courts do not permit TV cameras in the courtroom, so the opportunity for “real time” jihadist propagandizing won’t exist.",Trying 9/11 suspects in courtrooms does not allow jihadist propaganda,0,very confident
Trying 9/11 terror suspects in NYC courts,"Which brings us to the idea that allowing Mr. Mohammed to take the stand will give him a soapbox. The truth is, if the trial provides a propaganda platform for anybody, it will be for our side. [...] First, federal courts do not permit TV cameras in the courtroom, so the opportunity for “real time” jihadist propagandizing won’t exist.","Trials do not allow for ""real time"" propaganda",0,very confident
Trying 9/11 terror suspects in NYC courts,"While there is a remote chance that civilian courts would expose some intelligence, it would only be exposing 8-year-old intelligence, which is very unlikely to be useful to terrorists.",Modern veal farms use advanced husbandry practices.,0,very confident
Trying 9/11 terror suspects in NYC courts,"everyone knows that whatever the outcome of the trial, KSM will never walk free. He will spend the rest of his natural life in U.S. custody. Which makes the proceedings a farcical show trial from the very beginning.",Zoos help protect endangered species.,0,very confident
Trying 9/11 terror suspects in NYC courts,Attorney General Eric Holder Jr. took a bold and principled step on Friday toward repairing the damage wrought by former President George W. Bush with his decision to discard the nation’s well-established systems of civilian and military justice in the treatment of detainees captured in antiterrorist operations.,Trying 9/11 suspects in US courts would und repair damage done by Bush,0,very confident
Trying 9/11 terror suspects in NYC courts,Attorney General Eric Holder Jr. took a bold and principled step on Friday toward repairing the damage wrought by former President George W. Bush with his decision to discard the nation’s well-established systems of civilian and military justice in the treatment of detainees captured in antiterrorist operations.,US attorney general Eric Holder Jr.,0,confident
Trying 9/11 terror suspects in NYC courts,Attorney General Eric Holder Jr. took a bold and principled step on Friday toward repairing the damage wrought by former President George W. Bush with his decision to discard the nation’s well-established systems of civilian and military justice in the treatment of detainees captured in antiterrorist operations.,Trying terrorists in NYC restores US rule of law,0,very confident
Trying 9/11 terror suspects in NYC courts,Attorney General Eric Holder Jr. took a bold and principled step on Friday toward repairing the damage wrought by former President George W. Bush with his decision to discard the nation’s well-established systems of civilian and military justice in the treatment of detainees captured in antiterrorist operations.,US-India deal does not restrict the number of nuclear weapons produced.,0,very confident
Trying 9/11 terror suspects in NYC courts,"Former New York Mayor Rudy Giuliani said on ABC's This Week: ""Khalid Sheikh Mohammed, when he was first arrested, asked to be brought to New York. I didn't think we were in the business of granting the requests of terrorists.",Many educational shows are available for children.,0,very confident
Trying 9/11 terror suspects in NYC courts,"Sen. John McCain, R-Ariz., compared the decision to try accused 9/11 mastermind Khalid Sheikh Mohammed and other terrorists in New York City to trying Nazi war criminal Hermann Goering in San Francisco. ""It's ridiculous. These are war criminals and terrorists and they should not be privy to regular courtroom procedures.",Terrorists should not be tried in NYC courts,0,very confident
Trying 9/11 terror suspects in NYC courts,"Sen. John McCain, R-Ariz., compared the decision to try accused 9/11 mastermind Khalid Sheikh Mohammed and other terrorists in New York City to trying Nazi war criminal Hermann Goering in San Francisco. ""It's ridiculous. These are war criminals and terrorists and they should not be privy to regular courtroom procedures.",Terrorists should not be tried in NYC courts,0,very confident
Trying 9/11 terror suspects in NYC courts,"Sen. John McCain, R-Ariz., compared the decision to try accused 9/11 mastermind Khalid Sheikh Mohammed and other terrorists in New York City to trying Nazi war criminal Hermann Goering in San Francisco. ""It's ridiculous. These are war criminals and terrorists and they should not be privy to regular courtroom procedures.",Private ownership of water can threaten public health and citizen rights.,0,very confident
Trying 9/11 terror suspects in NYC courts,"Terrorists are a certain kind of villan. They attempt to kill massive numbers of civilians in a war against civilization and society. They are not like common criminals, so should not be treated as such, with rights in a civilian trial.",Terrorists are a special kind of criminal.,0,very confident
Trying 9/11 terror suspects in NYC courts,"Terrorists are a certain kind of villan. They attempt to kill massive numbers of civilians in a war against civilization and society. They are not like common criminals, so should not be treated as such, with rights in a civilian trial.",Terrorists are different than common criminals.,0,very confident
Trying 9/11 terror suspects in NYC courts,"Terrorists are a certain kind of villan. They attempt to kill massive numbers of civilians in a war against civilization and society. They are not like common criminals, so should not be treated as such, with rights in a civilian trial.",Famine is not caused by a lack of food globally.,0,very confident
Trying 9/11 terror suspects in NYC courts,"Sen. John McCain, R-Ariz., compared the decision to try accused 9/11 mastermind Khalid Sheikh Mohammed and other terrorists in New York City to trying Nazi war criminal Hermann Goering in San Francisco. ""It's ridiculous. These are war criminals and terrorists and they should not be privy to regular courtroom procedures.",Terrorists should not be tried in US courts,0,confident
Trying terrorist suspects in civilian courts,"our federal courts have waged an admirable war of their own against terrorists, whether the judges call it that or not. Our civilian courts have tried 195 cases of terrorism since 2001, according to Justice Department figures, and 91percent of them have resulted in convictions.",Civil Courts have successfully tried terrorists,0,very confident
Trying terrorist suspects in civilian courts,"our federal courts have waged an admirable war of their own against terrorists, whether the judges call it that or not. Our civilian courts have tried 195 cases of terrorism since 2001, according to Justice Department figures, and 91percent of them have resulted in convictions.",US courts have been successful in terrorism cases,0,very confident
Trying terrorist suspects in civilian courts,"our federal courts have waged an admirable war of their own against terrorists, whether the judges call it that or not. Our civilian courts have tried 195 cases of terrorism since 2001, according to Justice Department figures, and 91percent of them have resulted in convictions.",US courts have successfully fought terrorism,0,very confident
Trying terrorist suspects in civilian courts,"our federal courts have waged an admirable war of their own against terrorists, whether the judges call it that or not. Our civilian courts have tried 195 cases of terrorism since 2001, according to Justice Department figures, and 91percent of them have resulted in convictions.",US courts have successfully tried many terrorists,0,very confident
Trying terrorist suspects in civilian courts,"our federal courts have waged an admirable war of their own against terrorists, whether the judges call it that or not. Our civilian courts have tried 195 cases of terrorism since 2001, according to Justice Department figures, and 91percent of them have resulted in convictions.",Multi-party systems do not fairly implement the wishes of the electorate:,0,very confident
