Topic,Premise,Conclusion,Validity,Confidence
Torture,"While some argue that the ""ticking time-bomb"" is a fictitious experiment that impossibly requires perfect information, it need not be based on perfect information. A leader can justifiably determine that torture is the best course of action on the existence of reasonable probabilities that a ""ticking time bomb"" exists and threatens a certain amount of lives, and that a suspect retains information that could save those lives and has a good chance of being extracted through torture.",Leaders must be afforded the flexibility to judge that torture is the most probable way to save hundreds of thousands,1,very confident
Torture,"While some argue that the ""ticking time-bomb"" is a fictitious experiment that impossibly requires perfect information, it need not be based on perfect information. A leader can justifiably determine that torture is the best course of action on the existence of reasonable probabilities that a ""ticking time bomb"" exists and threatens a certain amount of lives, and that a suspect retains information that could save those lives and has a good chance of being extracted through torture.",US intervention in Libya was in national interests,0,very confident
Torture,"In an October 2006 BBC survey of 27,000 people in 25 countries, more than one out of three people in nine of those countries, including America, considered a degree of torture acceptable if it saved lives.","Torture ""to save lives"" has a substantial body of support among publics:",1,very confident
Torture,"In an October 2006 BBC survey of 27,000 people in 25 countries, more than one out of three people in nine of those countries, including America, considered a degree of torture acceptable if it saved lives.",Year-round schools have same overall schooling and vacation time.,0,very confident
Torture,"It is not necessary that there be a high probability that the ""ticking time bomb"" scenario will occur. What is important is that it is not implausible to imagine that it could occur. If it were to occur, leaders must be in a position of flexibility to use torture to to save a million lives.",Ticking time bombs are possible,1,very confident
Torture,"It is not necessary that there be a high probability that the ""ticking time bomb"" scenario will occur. What is important is that it is not implausible to imagine that it could occur. If it were to occur, leaders must be in a position of flexibility to use torture to to save a million lives.","The ""ticking time bomb"" scenario can happen.",1,very confident
Torture,"It is not necessary that there be a high probability that the ""ticking time bomb"" scenario will occur. What is important is that it is not implausible to imagine that it could occur. If it were to occur, leaders must be in a position of flexibility to use torture to to save a million lives.","The ""ticking time bomb"" scenario could occur",1,very confident
Torture,"It is not necessary that there be a high probability that the ""ticking time bomb"" scenario will occur. What is important is that it is not implausible to imagine that it could occur. If it were to occur, leaders must be in a position of flexibility to use torture to to save a million lives.","A one-in-a-million probability of the ""ticking time bomb"" occurring is sufficient to justify",1,very confident
Torture,"The ends do not justify the means in the case of torture. Because we accept that torture is always morally wrong, even if torture had the potential to save lives, it is unacceptable to sacrifice principle to achieve these ends. Torture violates the dignity of the human being Torture violates protections of the vulnerable",Torture is always wrong,1,very confident
Torture,"It is not necessary that there be a high probability that the ""ticking time bomb"" scenario will occur. What is important is that it is not implausible to imagine that it could occur. If it were to occur, leaders must be in a position of flexibility to use torture to to save a million lives.",A military tribunal would have been faster in case of KSM.,0,confident
Torture,"Torture puts the torturer in a position of dominance and abuse that has a brutalizing effect. This brutalizing effect is dehumanizing, or at least it defeats the virtues of compassion, empathy, and dignity that define a good human being, perhaps in God's image.","Trying terrorists risks releasing intelligence, costing lives",0,very confident
Torture,"Torture puts the torturer in a position of dominance and abuse that has a brutalizing effect. This brutalizing effect is dehumanizing, or at least it defeats the virtues of compassion, empathy, and dignity that define a good human being, perhaps in God's image.","Torture has a brutalizing, dominating effect.",1,very confident
Torture,"The ends do not justify the means in the case of torture. Because we accept that torture is always morally wrong, even if torture had the potential to save lives, it is unacceptable to sacrifice principle to achieve these ends. Torture violates the dignity of the human being Torture violates protections of the vulnerable",Many Iraqis support the continued presence of US forces,0,very confident
Torture,"While some argue that the ""ticking time-bomb"" is a fictitious experiment that impossibly requires perfect information, it need not be based on perfect information. A leader can justifiably determine that torture is the best course of action on the existence of reasonable probabilities that a ""ticking time bomb"" exists and threatens a certain amount of lives, and that a suspect retains information that could save those lives and has a good chance of being extracted through torture.","A ""ticking time bomb"" can be manipulated to save lives",0,very confident
Torture,"A terrorist will experience pain for a short period while being tortured. Yet, the millions of lives that could be lost if that pain is not inflicted will be gone forever. The ethical trade-off is overwhelmingly in favor of performing torture.",Terrorists can be safely tortured,0,confident
Torture,"A terrorist will experience pain for a short period while being tortured. Yet, the millions of lives that could be lost if that pain is not inflicted will be gone forever. The ethical trade-off is overwhelmingly in favor of performing torture.",The war in Libya is not illegal under international law,0,confident
Torture,"The Geneva Convention applies only to Prisoners of War whom are troops of nations that have both signed and abide by the Geneva convention. This does not apply to terrorists who have not state affiliation, have no signatory connection to the Geneva Convention, and who willingly violate the rules of war on the Geneva Convention.","Friends can become enemies, and vice versa.",0,very confident
Trade vs aid,"or even for ensuring that the process is objective and transparent. Without systemic correlation between allocations and poverty measurements, for example, large quantities of aid continue to go to countries with small numbers of people in poverty."" [UN ECOSOC 2008b, International Development Association 2007; published in International Development Cooperation Today - Emerging Trends and Debates, 2008]",Aid allocations are often too small to avoid corruption,0,confident
Trade vs aid,"or even for ensuring that the process is objective and transparent. Without systemic correlation between allocations and poverty measurements, for example, large quantities of aid continue to go to countries with small numbers of people in poverty."" [UN ECOSOC 2008b, International Development Association 2007; published in International Development Cooperation Today - Emerging Trends and Debates, 2008]",Humans owe a duty of care to our animal cousins,0,very confident
Trade vs aid,"Trade does not exist in a vacuum. It needs a wider infrastructure to support it, e.g. roads, railways, ports, education to produce capable civil servants to administer trading rules, etc. Without foreign aid, developing countries are not able to develop this kind of support, and so cannot participate effectively in international trade. Aid is not always in the form of money - it may also be given through expert advisors who help countries prepare for the challenges of globalisation.",Trade is only as good as the infrastructure.,1,very confident
Trade vs aid,"Trade does not exist in a vacuum. It needs a wider infrastructure to support it, e.g. roads, railways, ports, education to produce capable civil servants to administer trading rules, etc. Without foreign aid, developing countries are not able to develop this kind of support, and so cannot participate effectively in international trade. Aid is not always in the form of money - it may also be given through expert advisors who help countries prepare for the challenges of globalisation.",Trade does not exist in a vacuum.,1,very confident
Trade vs aid,"or even for ensuring that the process is objective and transparent. Without systemic correlation between allocations and poverty measurements, for example, large quantities of aid continue to go to countries with small numbers of people in poverty."" [UN ECOSOC 2008b, International Development Association 2007; published in International Development Cooperation Today - Emerging Trends and Debates, 2008]",There is no good system for measuring poverty,0,confident
Trade vs aid,"Trade does not exist in a vacuum. It needs a wider infrastructure to support it, e.g. roads, railways, ports, education to produce capable civil servants to administer trading rules, etc. Without foreign aid, developing countries are not able to develop this kind of support, and so cannot participate effectively in international trade. Aid is not always in the form of money - it may also be given through expert advisors who help countries prepare for the challenges of globalisation.",Wave power is only viable where conditions are right,0,very confident
Trying 9/11 terror suspects in NYC courts,"Others complain that Mr. Mohammed might take advantage of quirks of the criminal justice system and go free. That’s highly unlikely. First, he has already confessed to the crime; and, given the zero acquittal rate for terrorists in New York previously, any anxiety about a “not guilty” verdict seems unwarranted.",Trying 9/11 suspects is unlikely to result in a guilty verdict,0,very confident
Trying 9/11 terror suspects in NYC courts,"Others complain that Mr. Mohammed might take advantage of quirks of the criminal justice system and go free. That’s highly unlikely. First, he has already confessed to the crime; and, given the zero acquittal rate for terrorists in New York previously, any anxiety about a “not guilty” verdict seems unwarranted.","Humans have rights, like animals",0,very confident
Trying 9/11 terror suspects in NYC courts,"The obligation to stand trial in an open court of law is a defeat for the alleged mastermind of the 9/11 attacks, who once expressed a desire to plead guilty in the military commission system established in Guantánamo. Because the trial venue has been discredited around the Islamic world -- and among U.S. allies -- fulfilling his wish would have solidified his status as martyr on behalf of a distorted version of Islam.",Military tribunals are a propaganda win for terrorists,1,confident
Trying 9/11 terror suspects in NYC courts,"everyone knows that whatever the outcome of the trial, KSM will never walk free. He will spend the rest of his natural life in U.S. custody. Which makes the proceedings a farcical show trial from the very beginning.",9/11 suspect KSM would never walk free.,1,very confident
Trying 9/11 terror suspects in NYC courts,"everyone knows that whatever the outcome of the trial, KSM will never walk free. He will spend the rest of his natural life in U.S. custody. Which makes the proceedings a farcical show trial from the very beginning.",KSM will never walk free.,1,very confident
Trying 9/11 terror suspects in NYC courts,"everyone knows that whatever the outcome of the trial, KSM will never walk free. He will spend the rest of his natural life in U.S. custody. Which makes the proceedings a farcical show trial from the very beginning.",KSM's future in US custody is a farce,0,confident
Trying 9/11 terror suspects in NYC courts,"The obligation to stand trial in an open court of law is a defeat for the alleged mastermind of the 9/11 attacks, who once expressed a desire to plead guilty in the military commission system established in Guantánamo. Because the trial venue has been discredited around the Islamic world -- and among U.S. allies -- fulfilling his wish would have solidified his status as martyr on behalf of a distorted version of Islam.",Guantanamo detainees should be tried in open court,1,very confident
Trying 9/11 terror suspects in NYC courts,"New York Mayor Rudy Giuliani praised the trial of the 1993 bombing of the World Trade Center, saying, ""New Yorkers won’t meet violence with violence, but with a far greater weapon -- the law.",The trial of the 1993 WTC bomber was criticized,0,very confident
Trying 9/11 terror suspects in NYC courts,"Others complain that Mr. Mohammed might take advantage of quirks of the criminal justice system and go free. That’s highly unlikely. First, he has already confessed to the crime; and, given the zero acquittal rate for terrorists in New York previously, any anxiety about a “not guilty” verdict seems unwarranted.","The chances of a ""not guilty"" verdict are low",1,very confident
Trying 9/11 terror suspects in NYC courts,"The obligation to stand trial in an open court of law is a defeat for the alleged mastermind of the 9/11 attacks, who once expressed a desire to plead guilty in the military commission system established in Guantánamo. Because the trial venue has been discredited around the Islamic world -- and among U.S. allies -- fulfilling his wish would have solidified his status as martyr on behalf of a distorted version of Islam.",Many people depend on veal farming.,0,very confident
Trying 9/11 terror suspects in NYC courts,A November 2009 CBS News Poll found that only 40 percent of Americans want Mohammed and his four minions to be tried in federal criminal court.,Wind energy is free.,0,very confident
Trying 9/11 terror suspects in NYC courts,A November 2009 CBS News Poll found that only 40 percent of Americans want Mohammed and his four minions to be tried in federal criminal court.,Majority of Americans are opposed to civilian trial of terrorists.,1,very confident
Trying 9/11 terror suspects in NYC courts,A November 2009 CBS News Poll found that only 40 percent of Americans want Mohammed and his four minions to be tried in federal criminal court.,Public opinion does not support bringing Mohammed to justice,0,very confident
Trying 9/11 terror suspects in NYC courts,A November 2009 CBS News Poll found that only 40 percent of Americans want Mohammed and his four minions to be tried in federal criminal court.,Most Americans do not want to see 9/11 suspects tried in federal courts,1,very confident
Trying 9/11 terror suspects in NYC courts,"The additional security required to guard against #3 will cost the federal and city governments a fortune, interfere with the administration of justice in a busy federal district and busy federal prison, add to the traffic and delays already extant in lower Manhattan, and place a great burden on the jurors, judge, and prosecutors.",Completing a hard video game makes you feel accomplished.,0,very confident
Trying 9/11 terror suspects in NYC courts,"The additional security required to guard against #3 will cost the federal and city governments a fortune, interfere with the administration of justice in a busy federal district and busy federal prison, add to the traffic and delays already extant in lower Manhattan, and place a great burden on the jurors, judge, and prosecutors.",Trying terrorists in NY requires costly security,1,very confident
Trying 9/11 terror suspects in NYC courts,"The additional security required to guard against #3 will cost the federal and city governments a fortune, interfere with the administration of justice in a busy federal district and busy federal prison, add to the traffic and delays already extant in lower Manhattan, and place a great burden on the jurors, judge, and prosecutors.",Terror suspects in NYC courts will be costly,1,very confident
Trying 9/11 terror suspects in NYC courts,"The obligation to stand trial in an open court of law is a defeat for the alleged mastermind of the 9/11 attacks, who once expressed a desire to plead guilty in the military commission system established in Guantánamo. Because the trial venue has been discredited around the Islamic world -- and among U.S. allies -- fulfilling his wish would have solidified his status as martyr on behalf of a distorted version of Islam.",Trial in open court would have strengthened terrorist convictions.,0,confident
Trying 9/11 terror suspects in NYC courts,"The additional security required to guard against #3 will cost the federal and city governments a fortune, interfere with the administration of justice in a busy federal district and busy federal prison, add to the traffic and delays already extant in lower Manhattan, and place a great burden on the jurors, judge, and prosecutors.",Trying 9/11 suspects in NYC would be costly,1,very confident
Trying 9/11 terror suspects in NYC courts,"The politics of the trial stems from Obama’s decision to announce the closing of Guantanamo before he had lined up takers for its prisoners. Now with unemployment at 10.2 percent, he could hold an auction for the officials in Illinois, Montana, Michigan and Colorado clamoring for the detainees to fill their underused prisons. The politician who wins the detainees isn’t going to get booted from office. He’s going to get a parade.",Trying and imprisoning terrorists can create US jobs,1,very confident
Trying 9/11 terror suspects in NYC courts,"The politics of the trial stems from Obama’s decision to announce the closing of Guantanamo before he had lined up takers for its prisoners. Now with unemployment at 10.2 percent, he could hold an auction for the officials in Illinois, Montana, Michigan and Colorado clamoring for the detainees to fill their underused prisons. The politician who wins the detainees isn’t going to get booted from office. He’s going to get a parade.",Detainees can be sold to fill empty prisons,1,very confident
Trying 9/11 terror suspects in NYC courts,"Detainees will get a 'fair trial' in civilian court only if their conviction is assured. By implication, that suggests that detainees who go before military commissions will get an unfair trial. Presumably the administration would deny this and say the commission trials will be fair too. But if so, why is such a trial not good enough for Khalid Sheikh Mohammad?",Year-round schools spread breaks across each term.,0,very confident
Trying 9/11 terror suspects in NYC courts,"Detainees will get a 'fair trial' in civilian court only if their conviction is assured. By implication, that suggests that detainees who go before military commissions will get an unfair trial. Presumably the administration would deny this and say the commission trials will be fair too. But if so, why is such a trial not good enough for Khalid Sheikh Mohammad?",Wrong to give some terrorists civilian trials and not others,1,very confident
Trying 9/11 terror suspects in NYC courts,"Detainees will get a 'fair trial' in civilian court only if their conviction is assured. By implication, that suggests that detainees who go before military commissions will get an unfair trial. Presumably the administration would deny this and say the commission trials will be fair too. But if so, why is such a trial not good enough for Khalid Sheikh Mohammad?",Detainees will get a fair trial in civilian court if conviction assured,1,very confident
Trying 9/11 terror suspects in NYC courts,"Detainees will get a 'fair trial' in civilian court only if their conviction is assured. By implication, that suggests that detainees who go before military commissions will get an unfair trial. Presumably the administration would deny this and say the commission trials will be fair too. But if so, why is such a trial not good enough for Khalid Sheikh Mohammad?",Detainees will get an unfair trial only if conviction is assured,0,very confident
Trying 9/11 terror suspects in NYC courts,"Detainees will get a 'fair trial' in civilian court only if their conviction is assured. By implication, that suggests that detainees who go before military commissions will get an unfair trial. Presumably the administration would deny this and say the commission trials will be fair too. But if so, why is such a trial not good enough for Khalid Sheikh Mohammad?","Detainees are given a ""fair trial"" in civilian courts",1,very confident
Trying 9/11 terror suspects in NYC courts,"The politics of the trial stems from Obama’s decision to announce the closing of Guantanamo before he had lined up takers for its prisoners. Now with unemployment at 10.2 percent, he could hold an auction for the officials in Illinois, Montana, Michigan and Colorado clamoring for the detainees to fill their underused prisons. The politician who wins the detainees isn’t going to get booted from office. He’s going to get a parade.",The administration argued as early as 2004:,0,very confident
Trying 9/11 terror suspects in NYC courts,"Which brings us to the idea that allowing Mr. Mohammed to take the stand will give him a soapbox. The truth is, if the trial provides a propaganda platform for anybody, it will be for our side. [...] First, federal courts do not permit TV cameras in the courtroom, so the opportunity for “real time” jihadist propagandizing won’t exist.",Spending cuts are phased in slowly to allow recovery.,0,very confident
Trying 9/11 terror suspects in NYC courts,"The obligation to stand trial in an open court of law is a defeat for the alleged mastermind of the 9/11 attacks, who once expressed a desire to plead guilty in the military commission system established in Guantánamo. Because the trial venue has been discredited around the Islamic world -- and among U.S. allies -- fulfilling his wish would have solidified his status as martyr on behalf of a distorted version of Islam.",Trying 9/11 terror suspects in open courts is wrong,0,very confident
Trying 9/11 terror suspects in NYC courts,"Trying the 9/11 defendants before military commissions, on the other hand, would be widely (if unfairly) denounced as designed to ensure convictions regardless of the evidence. A decision to continue holding the suspects without trial -- after eight years of presidential vows to put them on trial -- would be a damning admission that America is simply not up to the task of bringing war criminals to justice.",Trying 9/11 suspects before military commissions is unfair,1,confident
Trying 9/11 terror suspects in NYC courts,"Trying the 9/11 defendants before military commissions, on the other hand, would be widely (if unfairly) denounced as designed to ensure convictions regardless of the evidence. A decision to continue holding the suspects without trial -- after eight years of presidential vows to put them on trial -- would be a damning admission that America is simply not up to the task of bringing war criminals to justice.",Withdrawing before the job is done would undermine US ally in the war on terror,0,very confident
Trying 9/11 terror suspects in NYC courts,"While there is a remote chance that civilian courts would expose some intelligence, it would only be exposing 8-year-old intelligence, which is very unlikely to be useful to terrorists.",Civilian courts are unlikely to expose valuable intelligence,1,very confident
Trying 9/11 terror suspects in NYC courts,"While there is a remote chance that civilian courts would expose some intelligence, it would only be exposing 8-year-old intelligence, which is very unlikely to be useful to terrorists.",Criminal courts would expose little info to terrorists,1,very confident
Trying 9/11 terror suspects in NYC courts,"While there is a remote chance that civilian courts would expose some intelligence, it would only be exposing 8-year-old intelligence, which is very unlikely to be useful to terrorists.",Trying 9/11 suspects would expose very little intelligence,1,very confident
Trying 9/11 terror suspects in NYC courts,"New York Mayor Rudy Giuliani praised the trial of the 1993 bombing of the World Trade Center, saying, ""New Yorkers won’t meet violence with violence, but with a far greater weapon -- the law.",US-NATO operations in Libya have been limited to a supporting role,0,very confident
Trying 9/11 terror suspects in NYC courts,"New York Mayor Rudy Giuliani praised the trial of the 1993 bombing of the World Trade Center, saying, ""New Yorkers won’t meet violence with violence, but with a far greater weapon -- the law.",Terrorists should be met with the weapon of the law,1,very confident
Trying 9/11 terror suspects in NYC courts,"As for emotional pain, one of the advances in the U.S. criminal justice system is giving victims a place at trial and a chance to be heard. The families wouldn’t get that in Guantanamo.",9/11 victims deserve a chance to be heard.,1,very confident
Trying 9/11 terror suspects in NYC courts,"As for emotional pain, one of the advances in the U.S. criminal justice system is giving victims a place at trial and a chance to be heard. The families wouldn’t get that in Guantanamo.",Guantanamo courts give victims a voice,0,very confident
Trying 9/11 terror suspects in NYC courts,"Which brings us to the idea that allowing Mr. Mohammed to take the stand will give him a soapbox. The truth is, if the trial provides a propaganda platform for anybody, it will be for our side. [...] First, federal courts do not permit TV cameras in the courtroom, so the opportunity for “real time” jihadist propagandizing won’t exist.",No TV cameras allowed in trials of 9/11 suspects,1,very confident
Trying 9/11 terror suspects in NYC courts,"New York Mayor Michael Bloomberg said in November of 2009: ""It is fitting that 9/11 suspects face justice near the World Trade Center site where so many New Yorkers were murdered.",9/11 suspects should face justice near WTC site,1,very confident
Trying 9/11 terror suspects in NYC courts,"New York Mayor Michael Bloomberg said in November of 2009: ""It is fitting that 9/11 suspects face justice near the World Trade Center site where so many New Yorkers were murdered.",9/11 suspects should be tried in NYC courts,1,very confident
Trying 9/11 terror suspects in NYC courts,"New York Mayor Michael Bloomberg said in November of 2009: ""It is fitting that 9/11 suspects face justice near the World Trade Center site where so many New Yorkers were murdered.",Fitting to try 9/11 terrorists at site of attacks,1,very confident
Trying 9/11 terror suspects in NYC courts,"New York Mayor Michael Bloomberg said in November of 2009: ""It is fitting that 9/11 suspects face justice near the World Trade Center site where so many New Yorkers were murdered.",Prolonging the Iraq War will permanently damaged the US military,0,very confident
Trying 9/11 terror suspects in NYC courts,"Instead of a straightforward finding of guilt and execution in a military court, Americans who suffered the loss of loved ones on 9/11 will have to suffer through a lengthy trial designed to show the world that Americans are fair to terrorists. [...] And they will have to suffer that trial within blocks of where two planes commandeered by fellow terrorists flew into and destroyed the Twin Trade Towers.",Victims of 9/11 will suffer in NYC courts,1,very confident
Trying 9/11 terror suspects in NYC courts,"Instead of a straightforward finding of guilt and execution in a military court, Americans who suffered the loss of loved ones on 9/11 will have to suffer through a lengthy trial designed to show the world that Americans are fair to terrorists. [...] And they will have to suffer that trial within blocks of where two planes commandeered by fellow terrorists flew into and destroyed the Twin Trade Towers.","Terrorists will be tried in military courts, not in courts",0,very confident
Trying 9/11 terror suspects in NYC courts,"Instead of a straightforward finding of guilt and execution in a military court, Americans who suffered the loss of loved ones on 9/11 will have to suffer through a lengthy trial designed to show the world that Americans are fair to terrorists. [...] And they will have to suffer that trial within blocks of where two planes commandeered by fellow terrorists flew into and destroyed the Twin Trade Towers.",Terrorists should be tried and tried in US courts,0,very confident
Trying 9/11 terror suspects in NYC courts,"Instead of a straightforward finding of guilt and execution in a military court, Americans who suffered the loss of loved ones on 9/11 will have to suffer through a lengthy trial designed to show the world that Americans are fair to terrorists. [...] And they will have to suffer that trial within blocks of where two planes commandeered by fellow terrorists flew into and destroyed the Twin Trade Towers.",NYC civilian trial re-opens wounds of 9/11 victims,1,very confident
Trying 9/11 terror suspects in NYC courts,"Instead of a straightforward finding of guilt and execution in a military court, Americans who suffered the loss of loved ones on 9/11 will have to suffer through a lengthy trial designed to show the world that Americans are fair to terrorists. [...] And they will have to suffer that trial within blocks of where two planes commandeered by fellow terrorists flew into and destroyed the Twin Trade Towers.","The ""domino theory"" in a post-Iraq-withdrawal Middle East is",0,very confident
Trying 9/11 terror suspects in NYC courts,"New York Mayor Rudy Giuliani praised the trial of the 1993 bombing of the World Trade Center, saying, ""New Yorkers won’t meet violence with violence, but with a far greater weapon -- the law.",Trying 9/11 suspects will help protect the community,0,confident
Trying 9/11 terror suspects in NYC courts,"As for emotional pain, one of the advances in the U.S. criminal justice system is giving victims a place at trial and a chance to be heard. The families wouldn’t get that in Guantanamo.",Obama administration consulted with Congress on Libya,0,very confident
